city,country,population
Moscow,Russia,10381222
London,United Kingdom,7556900
Saint Petersburg,Russia,5028000
Berlin,Germany,3426354
Madrid,Spain,3255944
Kyiv,Ukraine,2797553
Rome,Italy,2318895
Paris,France,2138551
Bucharest,Romania,1877155
Minsk,Belarus,1742124
Budapest,Hungary,1741041
Hamburg,Germany,1739117
Warsaw,Poland,1702139
Vienna,Austria,1691468
Barcelona,Spain,1621537
Stockholm,Sweden,1515017
Kharkiv,Ukraine,1430885
Novosibirsk,Russia,1419007
Yekaterinburg,Russia,1349772
Nizhniy Novgorod,Russia,1284164
Belgrade,Serbia,1273651
Munich,Germany,1260391
Milan,Italy,1236837
Prague,Czech Republic,1165581
Copenhagen,Denmark,1153615
Sofia,Bulgaria,1152556
Samara,Russia,1134730
Omsk,Russia,1129281
Kazan,Russia,1104738
Rostov-na-Donu,Russia,1074482
Chelyabinsk,Russia,1062919
Ufa,Russia,1033338
Dnipro,Ukraine,1032822
Donetsk,Ukraine,1024700
Dublin,Ireland,1024027
Brussels,Belgium,1019022
Volgograd,Russia,1011417
Odessa,Ukraine,1001558
Birmingham,United Kingdom,984333
Perm,Russia,982419
Koeln,Germany,963395
Naples,Italy,959470
Krasnoyarsk,Russia,927200
Turin,Italy,870456
Liverpool,United Kingdom,864122
Saratov,Russia,863725
Voronezh,Russia,848752
Valencia,Spain,814208
Zaporizhia,Ukraine,796217
Marseille,France,794811
Lodz,Poland,768755
Krakow,Poland,755050
Riga,Latvia,742572
Amsterdam,Netherlands,741636
Nottingham,United Kingdom,729977
Lviv,Ukraine,717803
Sevilla,Spain,703206
Tol'yatti,Russia,702879
Zagreb,Croatia,698966
Sarajevo,Bosnia and Herzegovina,696731
Sheffield,United Kingdom,685368
Zaragoza,Spain,674317
Athens,Greece,664046
Kryvyi Rih,Ukraine,652380
Frankfurt am Main,Germany,650000
Krasnodar,Russia,649851
Palermo,Italy,648260
Ulyanovsk,Russia,640680
Chisinau,Moldova,635994
Wroclaw,Poland,634893
Izhevsk,Russia,631038
Bristol,United Kingdom,617280
Yaroslavl,Russia,606730
Barnaul,Russia,599579
Rotterdam,Netherlands,598199
Essen,Germany,593085
Glasgow,United Kingdom,591620
Stuttgart,Germany,589793
Dortmund,Germany,588462
Vladivostok,Russia,587022
Irkutsk,Russia,586695
Genoa,Italy,580223
Oslo,Norway,580000
Khabarovsk,Russia,579000
Khabarovsk Vtoroy,Russia,578303
Duesseldorf,Germany,573057
Goeteborg,Sweden,572799
Poznan,Poland,570352
Malaga,Spain,568305
Helsinki,Finland,558457
Orenburg,Russia,550204
Bremen,Germany,546501
Vilnius,Lithuania,542366
Novokuznetsk,Russia,539616
Ryazan',Russia,520173
Tyumen,Russia,519119
Lisbon,Portugal,517802
Lipetsk,Russia,515655
Hannover,Germany,515140
Penza,Russia,512602
