,country,population
0,Austria,1691468
1,Belarus,1742124
2,Belgium,1019022
3,Bosnia and Herzegovina,696731
4,Bulgaria,1152556
5,Croatia,698966
6,Czech Republic,1165581
7,Denmark,1153615
8,Finland,558457
9,France,2933362
10,Germany,11445295
11,Greece,664046
12,Hungary,1741041
13,Ireland,1024027
14,Italy,6614141
15,Latvia,742572
16,Lithuania,542366
17,Moldova,635994
18,Netherlands,1339835
19,Norway,580000
20,Poland,4431189
21,Portugal,517802
22,Romania,1877155
23,Russia,39954312
24,Serbia,1273651
25,Spain,7637517
26,Sweden,2087816
27,Ukraine,9453918
28,United Kingdom,12029600
